Pool	ShortName	Fastq	ReadModel	InsertionSequence	GenomeSequence	OutputDir	GeneLocations	GeneAnnotations	GeneIdentifier
piggyBAC_all20	RBJC37	/opt/shared/skerker/rhseq/sam_pipeline/TnSeq_data/RBJC37_merged.fq	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/Model_pJC9BC.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/pJC9BC_insertion_corrected.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/D1373_Z1.fa	/opt/shared/skerker/rhseq/sam_pipeline/test_v1.1.4_PBa/all_mapped	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/hybrid_genes.gff3	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/YS2+CBS432+plasmid_clean.txt	proteinId
piggyBAC_all20	RBJC38	/opt/shared/skerker/rhseq/sam_pipeline/TnSeq_data/RBJC38_merged.fq	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/Model_pJC9BC.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/pJC9BC_insertion_corrected.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/D1373_Z1.fa	/opt/shared/skerker/rhseq/sam_pipeline/test_v1.1.4_PBa/all_mapped	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/hybrid_genes.gff3	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/YS2+CBS432+plasmid_clean.txt	proteinId
piggyBAC_all20	RBJC39	/opt/shared/skerker/rhseq/sam_pipeline/TnSeq_data/RBJC39_merged.fq	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/Model_pJC9BC.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/pJC9BC_insertion_corrected.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/D1373_Z1.fa	/opt/shared/skerker/rhseq/sam_pipeline/test_v1.1.4_PBa/all_mapped	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/hybrid_genes.gff3	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/YS2+CBS432+plasmid_clean.txt	proteinId
piggyBAC_all20	RBJC40	/opt/shared/skerker/rhseq/sam_pipeline/TnSeq_data/RBJC40_merged.fq	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/Model_pJC9BC.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/pJC9BC_insertion_corrected.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/D1373_Z1.fa	/opt/shared/skerker/rhseq/sam_pipeline/test_v1.1.4_PBa/all_mapped	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/hybrid_genes.gff3	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/YS2+CBS432+plasmid_clean.txt	proteinId
piggyBAC_all20	RBJC41	/opt/shared/skerker/rhseq/sam_pipeline/TnSeq_data/RBJC41_merged.fq	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/Model_pJC9BC.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/pJC9BC_insertion_corrected.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/D1373_Z1.fa	/opt/shared/skerker/rhseq/sam_pipeline/test_v1.1.4_PBa/all_mapped	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/hybrid_genes.gff3	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/YS2+CBS432+plasmid_clean.txt	proteinId
piggyBAC_all20	RBJC42	/opt/shared/skerker/rhseq/sam_pipeline/TnSeq_data/RBJC42_merged.fq	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/Model_pJC9BC.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/pJC9BC_insertion_corrected.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/D1373_Z1.fa	/opt/shared/skerker/rhseq/sam_pipeline/test_v1.1.4_PBa/all_mapped	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/hybrid_genes.gff3	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/YS2+CBS432+plasmid_clean.txt	proteinId
piggyBAC_all20	RBJC43	/opt/shared/skerker/rhseq/sam_pipeline/TnSeq_data/RBJC43_merged.fq	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/Model_pJC9BC.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/pJC9BC_insertion_corrected.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/D1373_Z1.fa	/opt/shared/skerker/rhseq/sam_pipeline/test_v1.1.4_PBa/all_mapped	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/hybrid_genes.gff3	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/YS2+CBS432+plasmid_clean.txt	proteinId
piggyBAC_all20	RBJC44	/opt/shared/skerker/rhseq/sam_pipeline/TnSeq_data/RBJC44_merged.fq	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/Model_pJC9BC.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/pJC9BC_insertion_corrected.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/D1373_Z1.fa	/opt/shared/skerker/rhseq/sam_pipeline/test_v1.1.4_PBa/all_mapped	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/hybrid_genes.gff3	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/YS2+CBS432+plasmid_clean.txt	proteinId
piggyBAC_all20	RBJC48	/opt/shared/skerker/rhseq/sam_pipeline/TnSeq_data/RBJC48_merged.fq	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/Model_pJC9BC.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/pJC9BC_insertion_corrected.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/D1373_Z1.fa	/opt/shared/skerker/rhseq/sam_pipeline/test_v1.1.4_PBa/all_mapped	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/hybrid_genes.gff3	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/YS2+CBS432+plasmid_clean.txt	proteinId
piggyBAC_all20	RBJC51	/opt/shared/skerker/rhseq/sam_pipeline/TnSeq_data/RBJC51_merged.fq	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/Model_pJC9BC.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/pJC9BC_insertion_corrected.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/D1373_Z1.fa	/opt/shared/skerker/rhseq/sam_pipeline/test_v1.1.4_PBa/all_mapped	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/hybrid_genes.gff3	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/YS2+CBS432+plasmid_clean.txt	proteinId
