geneID	name
nbis-gene-100	scYAL059C-A
nbis-gene-1000	scYDL186W
nbis-gene-10000	spYKR001C
nbis-gene-10001	spYKR002W
nbis-gene-10002	spYKR003W
nbis-gene-10003	spYKR004C
nbis-gene-10004	spYKR005C
nbis-gene-10005	spYKR006C
nbis-gene-10006	spYKR007W
nbis-gene-10007	spYKR008W
nbis-gene-10008	spYKR009C
nbis-gene-10009	spYKR010C
nbis-gene-1001	scYDL187C
nbis-gene-10010	spYKR011C
nbis-gene-10011	spYKR012C
nbis-gene-10012	spYKR013W
nbis-gene-10013	spYKR014C
nbis-gene-10014	spYKR015C
nbis-gene-10015	spYKR016W
nbis-gene-10016	spYKR017C
nbis-gene-10017	spYKR018C
nbis-gene-10018	spYKR019C
nbis-gene-10019	spYKR020W
nbis-gene-1002	scYDL188C
nbis-gene-10020	spYKR021W
nbis-gene-10021	spYKR022C
nbis-gene-10022	spYKR023W
nbis-gene-10023	spYKR024C
nbis-gene-10024	spYKR025W
nbis-gene-10025	spYKR026C
nbis-gene-10026	spYKR027W
nbis-gene-10027	spYKR028W
nbis-gene-10028	spYKR029C
nbis-gene-10029	spYKR030W
nbis-gene-1003	scYDL189W
nbis-gene-10030	spYKR031C
nbis-gene-10031	spYKR032W
nbis-gene-10032	spYKR034W
nbis-gene-10033	spYKR035W-A
nbis-gene-10034	spYKR036C
nbis-gene-10035	spYKR037C
nbis-gene-10036	spYKR038C
nbis-gene-10037	spYKR039W
nbis-gene-10038	spYKR041W
nbis-gene-10039	spYKR042W
nbis-gene-1004	scYDL190C
nbis-gene-10040	spYKR043C
nbis-gene-10041	spYKR044W
nbis-gene-10042	spYKR045C
nbis-gene-10043	spYKR046C
nbis-gene-10044	spYKR048C
nbis-gene-10045	spYKR049C
nbis-gene-10046	spYKR051W
nbis-gene-10047	spYKR052C
nbis-gene-10048	spYKR053C
nbis-gene-10049	spYKR054C
nbis-gene-1005	scYDL191W
nbis-gene-10050	spYKR055W
nbis-gene-10051	spYKR056W
nbis-gene-10052	spYKR058W
nbis-gene-10053	spYKR059W
nbis-gene-10054	spYKR060W
nbis-gene-10055	spYKR061W
nbis-gene-10056	spYKR062W
nbis-gene-10057	spYKR063C
nbis-gene-10058	spYKR064W
nbis-gene-10059	spYKR065C
nbis-gene-1006	scYDL192W
nbis-gene-10060	spYKR066C
nbis-gene-10061	spYKR067W
nbis-gene-10062	spYKR068C
nbis-gene-10063	spYKR069W
nbis-gene-10064	spYKR070W
nbis-gene-10065	spYKR071C
nbis-gene-10066	spYKR072C
nbis-gene-10067	spYKR073C
nbis-gene-10068	spYKR074W
nbis-gene-10069	spYKR075C
nbis-gene-1007	scYDL193W
nbis-gene-10070	spYKR076W
nbis-gene-10071	spYKR077W
nbis-gene-10072	spYKR078W
nbis-gene-10073	spYKR079C
nbis-gene-10074	spYKR080W
nbis-gene-10075	spYKR081C
nbis-gene-10076	spYKR082W
nbis-gene-10077	spYKR083C
nbis-gene-10078	spYKR084C
nbis-gene-10079	spYKR085C
nbis-gene-1008	scYDL194W
nbis-gene-10080	spYKR086W
nbis-gene-10081	spYKR087C
nbis-gene-10082	spYKR088C
nbis-gene-10083	spYKR089C
nbis-gene-10084	spYKR090W
nbis-gene-10085	spYKR091W
nbis-gene-10086	spYKR092C
nbis-gene-10087	spYKR093W
nbis-gene-10088	spYKR094C
nbis-gene-10089	spYKR095W
nbis-gene-1009	scYDL195W
nbis-gene-10090	spYKR095W-A
nbis-gene-10091	spYKR096W
nbis-gene-10092	spYKR097W
nbis-gene-10093	spYKR098C
nbis-gene-10094	spYKR099W
nbis-gene-10095	spYKR100C
nbis-gene-10096	spYKR101W
nbis-gene-10097	spYKR102W
nbis-gene-10098	spYKR103W
nbis-gene-10099	spYKR106W
nbis-gene-101	scYAL059W
nbis-gene-1010	scYDL196W
nbis-gene-10100	spYLL001W
nbis-gene-10101	spYLL002W
nbis-gene-10102	spYLL003W
nbis-gene-10103	spYLL004W
nbis-gene-10104	spYLL005C
nbis-gene-10105	spYLL006W
nbis-gene-10106	spYLL007C
nbis-gene-10107	spYLL008W
nbis-gene-10108	spYLL009C
nbis-gene-10109	spYLL010C
nbis-gene-1011	scYDL197C
nbis-gene-10110	spYLL011W
nbis-gene-10111	spYLL012W
nbis-gene-10112	spYLL013C
nbis-gene-10113	spYLL014W
nbis-gene-10114	spYLL016W
nbis-gene-10115	spYLL018C
nbis-gene-10116	spYLL018C-A
nbis-gene-10117	spYLL019C
nbis-gene-10118	spYLL021W
nbis-gene-10119	spYLL022C
nbis-gene-1012	scYDL198C
nbis-gene-10120	spYLL023C
nbis-gene-10121	spYLL024C
nbis-gene-10122	spYLL026W
nbis-gene-10123	spYLL027W
nbis-gene-10124	spYLL028W
nbis-gene-10125	spYLL029W
nbis-gene-10126	spYLL030C
nbis-gene-10127	spYLL031C
nbis-gene-10128	spYLL032C
nbis-gene-10129	spYLL033W
nbis-gene-1013	scYDL199C
nbis-gene-10130	spYLL034C
nbis-gene-10131	spYLL035W
nbis-gene-10132	spYLL036C
nbis-gene-10133	spYLL037W
nbis-gene-10134	spYLL038C
nbis-gene-10135	spYLL039C
nbis-gene-10136	spYLL040C
nbis-gene-10137	spYLL041C
nbis-gene-10138	spYLL042C
nbis-gene-10139	spYLL043W
nbis-gene-1014	scYDL200C
nbis-gene-10140	spYLL045C
nbis-gene-10141	spYLL046C
nbis-gene-10142	spYLL048C
nbis-gene-10143	spYLL049W
nbis-gene-10144	spYLL050C
nbis-gene-10145	spYLL051C
nbis-gene-10146	spYLL054C
nbis-gene-10147	spYLL055W
nbis-gene-10148	spYLL056C
nbis-gene-10149	spYLL057C
nbis-gene-1015	scYDL201W
nbis-gene-10150	spYLL058W
nbis-gene-10151	spYLL060C
nbis-gene-10152	spYLL061W
nbis-gene-10153	spYLL062C
nbis-gene-10154	spYLL064C
nbis-gene-10155	spYLL066C
nbis-gene-10156	spYLR001C
nbis-gene-10157	spYLR002C
nbis-gene-10158	spYLR003C
nbis-gene-10159	spYLR004C
nbis-gene-1016	scYDL202W
nbis-gene-10160	spYLR005W
nbis-gene-10161	spYLR006C
nbis-gene-10162	spYLR007W
nbis-gene-10163	spYLR008C
nbis-gene-10164	spYLR009W
nbis-gene-10165	spYLR010C
nbis-gene-10166	spYLR011W
nbis-gene-10167	spYLR012C
nbis-gene-10168	spYLR013W
nbis-gene-10169	spYLR014C
nbis-gene-1017	scYDL203C
nbis-gene-10170	spYLR015W
nbis-gene-10171	spYLR016C
nbis-gene-10172	spYLR017W
nbis-gene-10173	spYLR018C
nbis-gene-10174	spYLR019W
nbis-gene-10175	spYLR020C
nbis-gene-10176	spYLR021W
nbis-gene-10177	spYLR022C
nbis-gene-10178	spYLR023C
nbis-gene-10179	spYLR024C
nbis-gene-1018	scYDL204W
nbis-gene-10180	spYLR025W
nbis-gene-10181	spYLR026C
nbis-gene-10182	spYLR027C
nbis-gene-10183	spYLR028C
nbis-gene-10184	spYLR029C
nbis-gene-10185	spYLR030W
nbis-gene-10186	spYLR032W
nbis-gene-10187	spYLR033W
nbis-gene-10188	spYLR034C
nbis-gene-10189	spYLR035C
nbis-gene-1019	scYDL205C
nbis-gene-10190	spYLR036C
nbis-gene-10191	spYLR038C
nbis-gene-10192	spYLR039C
